Date,WTI Expiration Calendar,WTI F_1,WTI F_2,WTI_F4,"Event (1= roll, 2=expiration, 0=regular day)",Dates in between roll and expiry,Transaction Costs,dF(t)=F(t)-F(t-1),Spot Equity Line, Rolling Futures ,Futures Equity Line
1/4/10,1/20/10, $81.51 , $82.12 ,83.12,0,0,, $-   , $81.51 , $-   , $81.51 
1/5/10,2/22/10, $81.77 , $82.41 ,83.52,0,0, $-   , $0.26 , $81.77 , $0.26 , $81.77 
1/6/10,3/22/10, $83.18 , $83.75 ,84.86,0,0, $-   , $1.41 , $83.18 , $1.41 , $83.18 
1/7/10,4/20/10, $82.66 , $83.19 ,84.29,0,0, $-   , $(0.52), $82.66 , $(0.52), $82.66 
1/8/10,5/20/10, $82.75 , $83.30 ,84.47,0,0, $-   , $0.09 , $82.75 , $0.09 , $82.75 
1/11/10,6/22/10, $82.52 , $83.01 ,84.14,0,0, $-   , $(0.23), $82.52 , $(0.23), $82.52 
1/12/10,7/20/10, $80.79 , $81.17 ,82.28,1,1, $0.02 , $(1.73), $80.79 , $(1.73), $80.77 
1/13/10,8/20/10, $79.65 , $80.04 ,81.21,0,2, $-   , $(1.14), $79.65 , $(1.13), $79.64 
1/14/10,9/21/10, $79.39 , $79.88 ,81.11,0,3, $-   , $(0.26), $79.39 , $(0.16), $79.48 
1/15/10,10/20/10, $78.00 , $78.37 ,79.64,0,4, $-   , $(1.39), $78.00 , $(1.51), $77.97 
1/19/10,11/19/10, $79.02 , $79.32 ,80.4,0,5, $-   , $1.02 , $79.02 , $0.95 , $78.92 
1/20/10,12/20/10, $77.62 , $77.74 ,78.85,2,0, $-   , $(1.40), $77.62 , $(1.58), $77.34 
1/21/10,1/20/11, $76.08 , $76.53 ,77.74,0,0, $-   , $(1.54), $76.08 , $(1.66), $75.68 
1/22/10,2/22/11, $74.54 , $74.92 ,76.05,0,0, $-   , $(1.54), $74.54 , $(1.54), $74.14 
1/25/10,3/22/11, $75.26 , $75.69 ,76.84,0,0, $-   , $0.72 , $75.26 , $0.72 , $74.86 
1/26/10,4/19/11, $74.71 , $75.15 ,76.29,0,0, $-   , $(0.55), $74.71 , $(0.55), $74.31 
1/27/10,5/20/11, $73.67 , $74.15 ,75.32,0,0, $-   , $(1.04), $73.67 , $(1.04), $73.27 
1/28/10,6/21/11, $73.64 , $74.07 ,75.18,0,0, $-   , $(0.03), $73.64 , $(0.03), $73.24 
1/29/10,7/20/11, $72.89 , $73.35 ,74.53,0,0, $-   , $(0.75), $72.89 , $(0.75), $72.49 
2/1/10,8/22/11, $74.43 , $74.91 ,76.11,0,0, $-   , $1.54 , $74.43 , $1.54 , $74.03 
2/2/10,9/20/11, $77.23 , $77.72 ,78.91,0,0, $-   , $2.80 , $77.23 , $2.80 , $76.83 
2/3/10,10/20/11, $76.98 , $77.43 ,78.64,0,0, $-   , $(0.25), $76.98 , $(0.25), $76.58 
2/4/10,11/18/11, $73.14 , $73.54 ,74.74,0,0, $-   , $(3.84), $73.14 , $(3.84), $72.74 
2/5/10,12/20/11, $71.19 , $71.52 ,72.45,0,0, $-   , $(1.95), $71.19 , $(1.95), $70.79 
2/8/10,1/20/12, $71.89 , $72.29 ,73.26,0,0, $-   , $0.70 , $71.89 , $0.70 , $71.49 
2/9/10,2/21/12, $73.75 , $74.20 ,75.24,0,0, $-   , $1.86 , $73.75 , $1.86 , $73.35 
2/10/10,3/20/12, $74.52 , $74.89 ,75.83,0,0, $-   , $0.77 , $74.52 , $0.77 , $74.12 
2/11/10,4/20/12, $75.28 , $75.72 ,76.73,0,0, $-   , $0.76 , $75.28 , $0.76 , $74.88 
2/12/10,5/22/12, $74.13 , $74.50 ,75.57,1,1, $0.02 , $(1.15), $74.13 , $(1.15), $73.71 
2/16/10,6/20/12, $77.01 , $77.42 ,78.42,0,2, $-   , $2.88 , $77.01 , $2.92 , $76.63 
2/17/10,7/20/12, $77.33 , $77.73 ,78.71,0,3, $-   , $0.32 , $77.33 , $0.31 , $76.94 
2/18/10,8/21/12, $79.06 , $79.42 ,80.27,0,4, $-   , $1.73 , $79.06 , $1.69 , $78.63 
2/19/10,9/20/12, $79.81 , $80.06 ,80.85,0,5, $-   , $0.75 , $79.81 , $0.64 , $79.27 
2/22/10,10/22/12, $80.16 , $80.31 ,81.13,2,0, $-   , $0.35 , $80.16 , $0.25 , $79.52 
2/23/10,11/16/12, $78.86 , $79.29 ,80.17,0,0, $-   , $(1.30), $78.86 , $(1.45), $78.07 
2/24/10,12/19/12, $80.00 , $80.38 ,81.17,0,0, $-   , $1.14 , $80.00 , $1.14 , $79.21 
2/25/10,1/22/13, $78.17 , $78.53 ,79.27,0,0, $-   , $(1.83), $78.17 , $(1.83), $77.38 
2/26/10,2/20/13, $79.66 , $80.01 ,80.71,0,0, $-   , $1.49 , $79.66 , $1.49 , $78.87 
3/1/10,3/20/13, $78.70 , $79.08 ,79.86,0,0, $-   , $(0.96), $78.70 , $(0.96), $77.91 
3/2/10,4/22/13, $79.68 , $80.06 ,80.81,0,0, $-   , $0.98 , $79.68 , $0.98 , $78.89 
3/3/10,5/21/13, $80.87 , $81.26 ,82,0,0, $-   , $1.19 , $80.87 , $1.19 , $80.08 
3/4/10,6/20/13, $80.21 , $80.63 ,81.54,0,0, $-   , $(0.66), $80.21 , $(0.66), $79.42 
