date,user,content,likes,retweets,label
8/22/23 5:36,brentbulls,SPR releases seem to be slowing. Price floor forming? #OOTT,74,37,0
6/10/23 4:11,macrocrude,WTI slips on stronger USD and inventory build. #OOTT,99,32,1
9/21/23 21:06,barrelreport,EIA data surprises traders: bullish draw reported. #OOTT,259,23,0
12/3/23 22:06,opecintel,OPEC+ signaling deeper cuts next quarter. Expect volatility. #OOTT,273,76,0
4/8/23 19:42,macrocrude,WTI slips on stronger USD and inventory build. #OOTT,101,12,0
3/31/23 5:08,supplysignals,Refinery demand expected to rise into summer. #OOTT,263,34,1
8/14/23 1:55,energyalpha,Refinery demand expected to rise into summer. #OOTT,4,51,0
2/8/23 14:16,energyalpha,WTI slips on stronger USD and inventory build. #OOTT,90,0,0
3/12/23 3:32,brentbulls,Backwardation deepening in crude curve. Market tight. #OOTT,55,84,0
6/21/23 23:50,oilquant,Brent climbing after strong Chinese import numbers. #OOTT,161,52,1
9/14/23 10:04,supplysignals,Crude oil inventories fell again this week. #OOTT,273,79,0
5/14/23 22:48,crudealert,Russian exports reportedly down 300kbpd. Watch this space. #OOTT,253,6,0
10/19/23 0:36,macrocrude,Backwardation deepening in crude curve. Market tight. #OOTT,16,6,0
1/15/23 1:53,macrocrude,Russian exports reportedly down 300kbpd. Watch this space. #OOTT,300,98,0
10/29/23 23:11,energyalpha,Russian exports reportedly down 300kbpd. Watch this space. #OOTT,142,50,1
6/26/23 12:26,energyalpha,Backwardation deepening in crude curve. Market tight. #OOTT,247,0,0
7/9/23 9:23,energyalpha,Geopolitical tensions in the Gulf fueling crude rally. #OOTT,72,91,1
11/9/23 4:42,supplysignals,Geopolitical tensions in the Gulf fueling crude rally. #OOTT,287,90,1
4/26/23 21:38,energyalpha,Brent climbing after strong Chinese import numbers. #OOTT,268,7,1
8/11/23 10:50,oilwatcher,OPEC+ signaling deeper cuts next quarter. Expect volatility. #OOTT,243,73,0
12/5/23 15:12,energyalpha,Refinery demand expected to rise into summer. #OOTT,60,75,1
9/18/23 15:25,barrelreport,WTI slips on stronger USD and inventory build. #OOTT,230,76,0
11/9/23 21:31,traderecon,WTI slips on stronger USD and inventory build. #OOTT,260,75,1
11/15/23 16:18,brentbulls,SPR releases seem to be slowing. Price floor forming? #OOTT,56,46,1
9/25/23 6:42,energyalpha,Crude oil inventories fell again this week. #OOTT,60,0,1
6/9/23 16:54,macrocrude,SPR releases seem to be slowing. Price floor forming? #OOTT,148,12,1
5/31/23 9:04,energyalpha,Brent climbing after strong Chinese import numbers. #OOTT,124,2,1
6/25/23 13:21,macrocrude,Refinery demand expected to rise into summer. #OOTT,252,41,1
4/12/23 0:49,macrocrude,SPR releases seem to be slowing. Price floor forming? #OOTT,69,99,1
1/10/23 19:35,macrocrude,Backwardation deepening in crude curve. Market tight. #OOTT,179,69,1
4/8/23 1:04,barrelreport,Crude oil inventories fell again this week. #OOTT,0,73,0
3/20/23 16:00,supplysignals,Refinery demand expected to rise into summer. #OOTT,165,29,0
7/2/23 14:59,brentbulls,Crude oil inventories fell again this week. #OOTT,285,0,1
12/25/23 7:53,oilwatcher,OPEC+ signaling deeper cuts next quarter. Expect volatility. #OOTT,136,60,1
3/31/23 0:45,oilwatcher,Backwardation deepening in crude curve. Market tight. #OOTT,287,77,1
9/12/23 21:41,macrocrude,Crude oil inventories fell again this week. #OOTT,299,1,0
5/5/23 10:17,traderecon,Crude oil inventories fell again this week. #OOTT,13,23,1
